t 1 2 3 4 jK0100 jL0203 jL1
2.34e-06 2874.19 23353.7 2073.19 10000 -23.8414 -23.8414 220.968
2.35e-06 2635.15 23724.1 1900.77 10000 -22.4492 -22.4492 223.723
2.36e-06 2394.5 24071.8 1727.18 10000 -21.0225 -21.0225 226.238
2.37e-06 2152.48 24396.5 1552.61 10000 -19.5629 -19.5629 228.511
2.38e-06 1909.38 24697.6 1377.26 10000 -18.0718 -18.0718 230.542
2.39e-06 1665.46 24974.6 1201.32 10000 -16.5507 -16.5507 232.33
2.4e-06 1420.98 25227 1024.97 10000 -15.001 -15.001 233.873
2.41e-06 1176.21 25454.4 848.411 10000 -13.4245 -13.4245 235.171
2.42e-06 931.403 25656.4 671.831 10000 -11.8227 -11.8227 236.225
2.43e-06 686.831 25832.5 495.419 10000 -10.1973 -10.1973 237.034
2.44e-06 442.753 25982.5 319.363 10000 -8.55001 -8.55001 237.599
2.45e-06 199.428 26106 143.849 10000 -6.88249 -6.88249 237.92
2.46e-06 -42.888 26202.6 -30.9356 10000 -5.19655 -5.19655 237.998
2.47e-06 -283.939 26272.1 -204.808 10000 -3.49398 -3.49398 237.835
2.48e-06 -523.473 26314.3 -377.587 10000 -1.77661 -1.77661 237.431
2.49e-06 -761.241 26328.9 -549.092 10000 -0.0462881 -0.0462881 236.789
2.5e-06 -996.995 26315.7 -719.144 10000 1.69511 1.69511 235.91
2.51e-06 -1230.49 26274.6 -887.57 10000 3.4457 3.4457 234.796
2.52e-06 -1461.5 26205.4 -1054.2 10000 5.20354 5.20354 233.45
2.53e-06 -1689.77 26108 -1218.85 10000 6.9667 6.9667 231.874
2.54e-06 -1915.08 25982.4 -1381.37 10000 8.73322 8.73322 230.072
2.55e-06 -2137.2 25828.5 -1541.59 10000 10.5011 10.5011 228.046
2.56e-06 -2355.91 25646.4 -1699.35 10000 12.2685 12.2685 225.799
2.57e-06 -2571 25436 -1854.49 10000 14.0333 14.0333 223.336
