t 1 2 3 4 5 6 7 8 9 10 11
0.0082268 -0.869682 -10 -0.0247655 0 -0.127325 -0.082264 0 -0.173591 -0.827661 10 10
0.00823936 -0.869829 -10 -0.0241108 0 -0.125696 -0.082522 0 -0.17374 -0.826031 10 10
0.00825192 -0.870099 -10 -0.0246411 0 -0.125269 -0.0828986 0 -0.174014 -0.825598 10 10
0.00826448 -0.870482 -10 -0.0262989 0 -0.126 -0.083381 0 -0.174401 -0.826318 10 10
0.00827704 -0.870965 -10 -0.0290119 0 -0.127829 -0.0839554 0 -0.174889 -0.828131 10 10
0.0082896 -0.871534 -10 -0.0326947 0 -0.130683 -0.0846075 0 -0.175464 -0.830966 10 10
0.00830216 -0.872175 -10 -0.0372508 0 -0.134475 -0.0853227 0 -0.176113 -0.834735 10 10
0.00831472 -0.872875 -10 -0.0425741 0 -0.139109 -0.0860862 0 -0.17682 -0.839343 10 10
0.00832728 -0.873619 -10 -0.0485516 0 -0.144479 -0.0868834 0 -0.177571 -0.844684 10 10
0.00833984 -0.874394 -10 -0.0550647 0 -0.150471 -0.0877 0 -0.178353 -0.850646 10 10
0.0083524 -0.875184 -10 -0.0619916 0 -0.15697 -0.0885222 0 -0.179152 -0.857113 10 10
0.00836496 -0.875978 -10 -0.0692096 0 -0.163853 -0.0893371 0 -0.179953 -0.863964 10 10
0.00837752 -0.876762 -10 -0.0765962 0 -0.171001 -0.0901326 0 -0.180745 -0.871079 10 10
0.00839008 -0.877526 -10 -0.0840318 0 -0.178294 -0.0908974 0 -0.181516 -0.878338 10 10
0.00840264 -0.878258 -10 -0.0914008 0 -0.185613 -0.0916218 0 -0.182255 -0.885625 10 10
0.0084152 -0.87895 -10 -0.0985937 0 -0.192847 -0.0922969 0 -0.182953 -0.892828 10 10
0.00842776 -0.879592 -10 -0.105508 0 -0.199888 -0.0929152 0 -0.183601 -0.899839 10 10
0.00844032 -0.880179 -10 -0.11205 0 -0.206636 -0.0934706 0 -0.184193 -0.90656 10 10
0.00845288 -0.880704 -10 -0.118135 0 -0.213003 -0.0939583 0 -0.184723 -0.912901 10 10
0.00846544 -0.881163 -10 -0.123689 0 -0.218905 -0.0943748 0 -0.185186 -0.918781 10 10
0.008478 -0.881552 -10 -0.128651 0 -0.224272 -0.0947178 0 -0.185579 -0.924129 10 10
0.00849056 -0.881871 -10 -0.132968 0 -0.229046 -0.0949866 0 -0.1859 -0.928885 10 10
0.00850312 -0.882118 -10 -0.136603 0 -0.233177 -0.0951813 0 -0.186148 -0.933002 10 10
0.00851568 -0.882293 -10 -0.139527 0 -0.236629 -0.0953033 0 -0.186325 -0.936445 10 10
0.00852824 -0.882399 -10 -0.141726 0 -0.239379 -0.0953551 0 -0.186431 -0.939187 10 10
0.0085408 -0.882437 -10 -0.143198 0 -0.241414 -0.0953401 0 -0.186469 -0.941218 10 10
0.00855336 -0.882411 -10 -0.143949 0 -0.242732 -0.0952624 0 -0.186443 -0.942535 10 10
0.00856592 -0.882326 -10 -0.143998 0 -0.243343 -0.095127 0 -0.186356 -0.943148 10 10
0.00857848 -0.882186 -10 -0.143374 0 -0.243267 -0.0949393 0 -0.186214 -0.943078 10 10
0.00859104 -0.881996 -10 -0.142114 0 -0.242535 -0.0947055 0 -0.186023 -0.942353 10 10
0.0086036 -0.881763 -10 -0.140265 0 -0.241184 -0.0944318 0 -0.185787 -0.941013 10 10
0.00861616 -0.881493 -10 -0.137879 0 -0.239262 -0.0941248 0 -0.185513 -0.939103 10 10
0.00862872 -0.881191 -10 -0.135014 0 -0.23682 -0.0937912 0 -0.185209 -0.936676 10 10
0.00864128 -0.880865 -10 -0.131735 0 -0.23392 -0.0934377 0 -0.184879 -0.933791 10 10
0.00865384 -0.880521 -10 -0.128109 0 -0.230622 -0.093071 0 -0.184532 -0.930511 10 10
0.0086664 -0.880165 -10 -0.124205 0 -0.226996 -0.0926974 0 -0.184173 -0.926902 10 10
0.00867896 -0.879804 -10 -0.120095 0 -0.223108 -0.0923233 0 -0.183808 -0.923034 10 10
0.00869152 -0.879443 -10 -0.11585 0 -0.219031 -0.0919542 0 -0.183443 -0.918976 10 10
0.00870408 -0.879088 -10 -0.11154 0 -0.214833 -0.0915957 0 -0.183085 -0.914797 10 10
0.00871664 -0.878744 -10 -0.107233 0 -0.210584 -0.0912527 0 -0.182738 -0.910567 10 10
0.0087292 -0.878416 -10 -0.102996 0 -0.206351 -0.0909294 0 -0.182407 -0.906352 10 10
0.00874176 -0.878108 -10 -0.0988905 0 -0.202197 -0.0906297 0 -0.182096 -0.902216 10 10
0.00875432 -0.877823 -10 -0.0949727 0 -0.198183 -0.0903568 0 -0.181808 -0.898219 10 10
0.00876688 -0.877564 -10 -0.091295 0 -0.194364 -0.0901134 0 -0.181547 -0.894415 10 10
0.00877944 -0.877335 -10 -0.0879034 0 -0.190791 -0.0899014 0 -0.181315 -0.890856 10 10
0.008792 -0.877135 -10 -0.0848378 0 -0.187507 -0.0897222 0 -0.181114 -0.887584 10 10
0.00880456 -0.876968 -10 -0.0821312 0 -0.18455 -0.0895766 0 -0.180946 -0.884638 10 10
0.00881712 -0.876833 -10 -0.0798101 0 -0.181953 -0.089465 0 -0.18081 -0.882049 10 10
0.00882968 -0.876731 -10 -0.0778938 0 -0.179739 -0.0893869 0 -0.180707 -0.879842 10 10
0.00884224 -0.876662 -10 -0.0763945 0 -0.177926 -0.0893416 0 -0.180637 -0.878035 10 10
0.0088548 -0.876623 -10 -0.0753179 0 -0.176526 -0.0893278 0 -0.180599 -0.876638 10 10
0.00886736 -0.876615 -10 -0.0746626 0 -0.175542 -0.089344 0 -0.180591 -0.875655 10 10
0.00887992 -0.876636 -10 -0.0744211 0 -0.174972 -0.089388 0 -0.180612 -0.875085 10 10
0.00889248 -0.876683 -10 -0.0745799 0 -0.174808 -0.0894576 0 -0.180659 -0.874919 10 10
0.00890504 -0.876754 -10 -0.0751198 0 -0.175034 -0.08955 0 -0.180732 -0.875142 10 10
0.0089176 -0.876847 -10 -0.0760168 0 -0.175633 -0.0896627 0 -0.180826 -0.875735 10 10
0.00893016 -0.876959 -10 -0.0772421 0 -0.176578 -0.0897926 0 -0.180939 -0.876673 10 10
0.00894272 -0.877087 -10 -0.0787635 0 -0.17784 -0.0899366 0 -0.181068 -0.877928 10 10
0.00895528 -0.877229 -10 -0.0805454 0 -0.179389 -0.0900918 0 -0.181211 -0.879468 10 10
0.00896784 -0.87738 -10 -0.0825498 0 -0.181187 -0.0902551 0 -0.181364 -0.881256 10 10
0.0089804 -0.877539 -10 -0.0847367 0 -0.183196 -0.0904235 0 -0.181524 -0.883256 10 10
0.00899296 -0.877702 -10 -0.0870653 0 -0.185379 -0.0905941 0 -0.181689 -0.885428 10 10
0.00900552 -0.877867 -10 -0.089494 0 -0.187693 -0.0907641 0 -0.181856 -0.887731 10 10
0.00901808 -0.878031 -10 -0.0919817 0 -0.190099 -0.090931 0 -0.182021 -0.890126 10 10
0.00903064 -0.878191 -10 -0.094488 0 -0.192555 -0.0910923 0 -0.182183 -0.892571 10 10
0.0090432 -0.878346 -10 -0.0969738 0 -0.195023 -0.091246 0 -0.182339 -0.895027 10 10
0.00905576 -0.878492 -10 -0.099402 0 -0.197463 -0.09139 0 -0.182487 -0.897457 10 10
0.00906832 -0.87863 -10 -0.101738 0 -0.199841 -0.0915228 0 -0.182626 -0.899825 10 10
0.00908088 -0.878756 -10 -0.10395 0 -0.202121 -0.091643 0 -0.182753 -0.902096 10 10
0.00909344 -0.87887 -10 -0.10601 0 -0.204274 -0.0917495 0 -0.182868 -0.904241 10 10
0.009106 -0.87897 -10 -0.107892 0 -0.206272 -0.0918414 0 -0.182969 -0.906231 10 10
0.00911856 -0.879056 -10 -0.109575 0 -0.208091 -0.0919182 0 -0.183056 -0.908043 10 10
0.00913112 -0.879128 -10 -0.111042 0 -0.209711 -0.0919796 0 -0.183128 -0.909657 10 10
0.00914368 -0.879184 -10 -0.112279 0 -0.211115 -0.0920255 0 -0.183185 -0.911057 10 10
0.00915624 -0.879226 -10 -0.113277 0 -0.212291 -0.0920563 0 -0.183227 -0.912229 10 10
0.0091688 -0.879253 -10 -0.114031 0 -0.21323 -0.0920723 0 -0.183254 -0.913166 10 10
0.00918136 -0.879266 -10 -0.11454 0 -0.213929 -0.0920741 0 -0.183267 -0.913863 10 10
0.00919392 -0.879266 -10 -0.114806 0 -0.214385 -0.0920626 0 -0.183267 -0.914319 10 10
0.00920648 -0.879252 -10 -0.114834 0 -0.214603 -0.0920387 0 -0.183253 -0.914538 10 10
0.00921904 -0.879227 -10 -0.114636 0 -0.21459 -0.0920036 0 -0.183228 -0.914526 10 10
0.0092316 -0.879191 -10 -0.114222 0 -0.214354 -0.0919584 0 -0.183192 -0.914293 10 10
0.00924416 -0.879146 -10 -0.113608 0 -0.213909 -0.0919044 0 -0.183146 -0.913852 10 10
0.00925672 -0.879093 -10 -0.112813 0 -0.213271 -0.091843 0 -0.183092 -0.913217 10 10
0.00926928 -0.879032 -10 -0.111855 0 -0.212457 -0.0917756 0 -0.183031 -0.912408 10 10
0.00928184 -0.878966 -10 -0.110757 0 -0.211486 -0.0917036 0 -0.182964 -0.911443 10 10
0.0092944 -0.878896 -10 -0.10954 0 -0.210381 -0.0916283 0 -0.182893 -0.910344 10 10
0.00930696 -0.878823 -10 -0.108228 0 -0.209164 -0.0915511 0 -0.182819 -0.909132 10 10
0.00931952 -0.878748 -10 -0.106846 0 -0.207858 -0.0914733 0 -0.182744 -0.907832 10 10
0.00933208 -0.878673 -10 -0.105417 0 -0.206486 -0.0913962 0 -0.182668 -0.906467 10 10
0.00934464 -0.878599 -10 -0.103964 0 -0.205073 -0.0913209 0 -0.182593 -0.90506 10 10
0.0093572 -0.878527 -10 -0.102512 0 -0.203641 -0.0912484 0 -0.18252 -0.903635 10 10
0.00936976 -0.878457 -10 -0.101082 0 -0.202213 -0.0911797 0 -0.18245 -0.902213 10 10
0.00938232 -0.878392 -10 -0.0996956 0 -0.200811 -0.0911156 0 -0.182384 -0.900817 10 10
0.00939488 -0.878331 -10 -0.0983713 0 -0.199455 -0.0910568 0 -0.182322 -0.899467 10 10
0.00940744 -0.878275 -10 -0.0971271 0 -0.198164 -0.091004 0 -0.182266 -0.898181 10 10
0.00942 -0.878225 -10 -0.0959786 0 -0.196955 -0.0909576 0 -0.182216 -0.896977 10 10
0.00943256 -0.878181 -10 -0.0949393 0 -0.195843 -0.0909179 0 -0.182171 -0.895869 10 10
0.00944512 -0.878144 -10 -0.0940205 0 -0.19484 -0.0908851 0 -0.182134 -0.89487 10 10
0.00945768 -0.878114 -10 -0.0932313 0 -0.193958 -0.0908594 0 -0.182103 -0.893991 10 10
0.00947024 -0.87809 -10 -0.0925782 0 -0.193205 -0.0908407 0 -0.182079 -0.89324 10 10
0.0094828 -0.878073 -10 -0.0920656 0 -0.192587 -0.0908288 0 -0.182062 -0.892624 10 10
0.00949536 -0.878063 -10 -0.0916953 0 -0.192108 -0.0908236 0 -0.182052 -0.892146 10 10
0.00950792 -0.878059 -10 -0.0914672 0 -0.191769 -0.0908248 0 -0.182048 -0.891807 10 10
0.00952048 -0.878061 -10 -0.0913787 0 -0.19157 -0.0908319 0 -0.18205 -0.891608 10 10
0.00953304 -0.878069 -10 -0.0914255 0 -0.191507 -0.0908444 0 -0.182058 -0.891545 10 10
0.0095456 -0.878082 -10 -0.091601 0 -0.191577 -0.090862 0 -0.182072 -0.891614 10 10
0.00955816 -0.8781 -10 -0.0918974 0 -0.191773 -0.0908839 0 -0.18209 -0.891807 10 10
0.00957072 -0.878121 -10 -0.092305 0 -0.192085 -0.0909096 0 -0.182112 -0.892118 10 10
0.00958328 -0.878147 -10 -0.0928129 0 -0.192506 -0.0909385 0 -0.182137 -0.892536 10 10
0.00959584 -0.878175 -10 -0.0934093 0 -0.193023 -0.09097 0 -0.182166 -0.89305 10 10
0.0096084 -0.878206 -10 -0.0940813 0 -0.193625 -0.0910034 0 -0.182197 -0.893649 10 10
0.00962096 -0.878239 -10 -0.0948156 0 -0.194299 -0.091038 0 -0.18223 -0.894319 10 10
0.00963352 -0.878272 -10 -0.0955984 0 -0.195032 -0.0910733 0 -0.182264 -0.895049 10 10
0.00964608 -0.878306 -10 -0.0964156 0 -0.19581 -0.0911087 0 -0.182298 -0.895823 10 10
0.00965864 -0.87834 -10 -0.0972534 0 -0.19662 -0.0911437 0 -0.182333 -0.896629 10 10
0.0096712 -0.878374 -10 -0.0980982 0 -0.197447 -0.0911776 0 -0.182367 -0.897452 10 10
0.00968376 -0.878407 -10 -0.0989367 0 -0.198279 -0.0912102 0 -0.1824 -0.898281 10 10
0.00969632 -0.878438 -10 -0.0997565 0 -0.199102 -0.0912408 0 -0.182431 -0.8991 10 10
0.00970888 -0.878467 -10 -0.100546 0 -0.199905 -0.0912693 0 -0.182461 -0.8999 10 10
0.00972144 -0.878494 -10 -0.101294 0 -0.200676 -0.0912952 0 -0.182488 -0.900667 10 10
0.009734 -0.878519 -10 -0.101991 0 -0.201404 -0.0913184 0 -0.182513 -0.901392 10 10
0.00974656 -0.87854 -10 -0.102628 0 -0.20208 -0.0913386 0 -0.182535 -0.902066 10 10
0.00975912 -0.878559 -10 -0.103199 0 -0.202696 -0.0913556 0 -0.182554 -0.90268 10 10
0.00977168 -0.878575 -10 -0.103698 0 -0.203246 -0.0913696 0 -0.18257 -0.903228 10 10
0.00978424 -0.878588 -10 -0.104119 0 -0.203723 -0.0913803 0 -0.182583 -0.903703 10 10
0.0097968 -0.878598 -10 -0.10446 0 -0.204124 -0.0913878 0 -0.182593 -0.904103 10 10
0.00980936 -0.878605 -10 -0.104718 0 -0.204444 -0.0913922 0 -0.1826 -0.904423 10 10
0.00982192 -0.878609 -10 -0.104894 0 -0.204684 -0.0913936 0 -0.182603 -0.904662 10 10
0.00983448 -0.878609 -10 -0.104987 0 -0.204842 -0.0913922 0 -0.182604 -0.90482 10 10
0.00984704 -0.878608 -10 -0.105001 0 -0.20492 -0.0913882 0 -0.182602 -0.904898 10 10
0.0098596 -0.878603 -10 -0.104938 0 -0.204919 -0.0913817 0 -0.182598 -0.904898 10 10
0.00987216 -0.878597 -10 -0.104802 0 -0.204843 -0.0913731 0 -0.182591 -0.904823 10 10
0.00988472 -0.878588 -10 -0.104599 0 -0.204697 -0.0913625 0 -0.182582 -0.904677 10 10
0.00989728 -0.878577 -10 -0.104334 0 -0.204485 -0.0913503 0 -0.182572 -0.904467 10 10
0.00990984 -0.878565 -10 -0.104014 0 -0.204214 -0.0913367 0 -0.18256 -0.904197 10 10
0.0099224 -0.878552 -10 -0.103646 0 -0.203889 -0.091322 0 -0.182546 -0.903874 10 10
0.00993496 -0.878538 -10 -0.103237 0 -0.203519 -0.0913066 0 -0.182532 -0.903506 10 10
0.00994752 -0.878523 -10 -0.102797 0 -0.20311 -0.0912907 0 -0.182517 -0.903099 10 10
0.00996008 -0.878507 -10 -0.102332 0 -0.202671 -0.0912746 0 -0.182501 -0.902663 10 10
0.00997264 -0.878492 -10 -0.101851 0 -0.20221 -0.0912585 0 -0.182485 -0.902203 10 10
0.0099852 -0.878476 -10 -0.101361 0 -0.201734 -0.0912427 0 -0.18247 -0.90173 10 10
0.00999776 -0.878461 -10 -0.100872 0 -0.201251 -0.0912274 0 -0.182454 -0.901249 10 10
0.0100103 -0.878446 -10 -0.100389 0 -0.20077 -0.0912128 0 -0.18244 -0.90077 10 10
0.0100229 -0.878433 -10 -0.0999207 0 -0.200297 -0.0911992 0 -0.182425 -0.900299 10 10
0.0100354 -0.878419 -10 -0.0994731 0 -0.199839 -0.0911866 0 -0.182412 -0.899843 10 10
0.010048 -0.878407 -10 -0.0990522 0 -0.199402 -0.0911751 0 -0.1824 -0.899408 10 10
0.0100606 -0.878397 -10 -0.0986633 0 -0.198993 -0.091165 0 -0.182389 -0.899 10 10
