t 1 2 3 jxH0100
0.306 0.836828 1.12 1.12 0.836828
0.307 0.88288 1.14 1.14 0.88288
0.308 0.928932 1.16 1.16 0.928932
0.309 0.974984 1.18 1.18 0.974984
0.31 1.02104 1.2 1.2 1.02104
0.311 1.06709 1.22 1.22 1.06709
0.312 1.11314 1.24 1.24 1.11314
0.313 1.15919 1.26 1.26 1.15919
0.314 1.20524 1.28 1.28 1.20524
0.315 1.25129 1.3 1.3 1.25129
0.316 1.29735 1.32 1.32 1.29735
0.317 1.3434 1.34 1.34 1.3434
0.318 1.38945 1.36 1.36 1.38945
0.319 1.4355 1.38 1.38 1.4355
0.32 1.48155 1.4 1.4 1.48155
0.321 1.5276 1.42 1.42 1.5276
0.322 1.57366 1.44 1.44 1.57366
0.323 1.61971 1.46 1.46 1.61971
0.324 1.66576 1.48 1.48 1.66576
0.325 1.71181 1.5 1.5 1.71181
0.326 1.75786 1.52 1.52 1.75786
0.327 1.80392 1.54 1.54 1.80392
0.328 1.84997 1.56 1.56 1.84997
0.329 1.89602 1.58 1.58 1.89602
0.33 1.94207 1.6 1.6 1.94207
0.331 1.98812 1.62 1.62 1.98812
0.332 2.03417 1.64 1.64 2.03417
0.333 2.08023 1.66 1.66 2.08023
0.334 2.12628 1.68 1.68 2.12628
0.335 2.17233 1.7 1.7 2.17233
0.336 2.21838 1.72 1.72 2.21838
0.337 2.26443 1.74 1.74 2.26443
0.338 2.31048 1.76 1.76 2.31048
0.339 2.35654 1.78 1.78 2.35654
0.34 2.40259 1.8 1.8 2.40259
0.341 2.44864 1.82 1.82 2.44864
0.342 2.49469 1.84 1.84 2.49469
0.343 2.54074 1.86 1.86 2.54074
0.344 2.5868 1.88 1.88 2.5868
0.345 2.63285 1.9 1.9 2.63285
0.346 2.6789 1.92 1.92 2.6789
0.347 2.72495 1.94 1.94 2.72495
0.348 2.771 1.96 1.96 2.771
0.349 2.81705 1.98 1.98 2.81705
0.35 2.86311 2 2 2.86311
0.351 2.90916 2.02 2.02 2.90916
0.352 2.95521 2.04 2.04 2.95521
0.353 3.00126 2.06 2.06 3.00126
0.354 3.04731 2.08 2.08 3.04731
0.355 3.09337 2.1 2.1 3.09337
0.356 3.13942 2.12 2.12 3.13942
0.357 3.18547 2.14 2.14 3.18547
0.358 3.23152 2.16 2.16 3.23152
0.359 3.27757 2.18 2.18 3.27757
0.36 3.32362 2.2 2.2 3.32362
0.361 3.36968 2.22 2.22 3.36968
0.362 3.41573 2.24 2.24 3.41573
0.363 3.46178 2.26 2.26 3.46178
0.364 3.50783 2.28 2.28 3.50783
0.365 3.55388 2.3 2.3 3.55388
0.366 3.59993 2.32 2.32 3.59993
0.367 3.64599 2.34 2.34 3.64599
0.368 3.69204 2.36 2.36 3.69204
0.369 3.73809 2.38 2.38 3.73809
0.37 3.78414 2.4 2.4 3.78414
0.371 3.83019 2.42 2.42 3.83019
0.372 3.87625 2.44 2.44 3.87625
0.373 3.9223 2.46 2.46 3.9223
0.374 3.96835 2.48 2.48 3.96835
0.375 4.0144 2.5 2.5 4.0144
0.376 4.06045 2.52 2.52 4.06045
0.377 4.1065 2.54 2.54 4.1065
0.378 4.15256 2.56 2.56 4.15256
0.379 4.19861 2.58 2.58 4.19861
0.38 4.24466 2.6 2.6 4.24466
0.381 4.29071 2.62 2.62 4.29071
0.382 4.33676 2.64 2.64 4.33676
0.383 4.38281 2.66 2.66 4.38281
0.384 4.42887 2.68 2.68 4.42887
0.385 4.47492 2.7 2.7 4.47492
0.386 4.52097 2.72 2.72 4.52097
0.387 4.56702 2.74 2.74 4.56702
0.388 4.61307 2.76 2.76 4.61307
0.389 4.65913 2.78 2.78 4.65913
0.39 4.70518 2.8 2.8 4.70518
0.391 4.75123 2.82 2.82 4.75123
0.392 4.79728 2.84 2.84 4.79728
0.393 4.84333 2.86 2.86 4.84333
0.394 4.88938 2.88 2.88 4.88938
0.395 4.93544 2.9 2.9 4.93544
0.396 4.98149 2.92 2.92 4.98149
0.397 5.02754 2.94 2.94 5.02754
0.398 5.07359 2.96 2.96 5.07359
0.399 5.11964 2.98 2.98 5.11964
0.4 5.16569 3 3 5.16569
0.401 5.21175 3.02 3.02 5.21175
0.402 5.2578 3.04 3.04 5.2578
0.403 5.30385 3.06 3.06 5.30385
0.404 5.3499 3.08 3.08 5.3499
0.405 5.39595 3.1 3.1 5.39595
0.406 5.44201 3.12 3.12 5.44201
