t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
4.4 -0.163486 -0.655923 -0.245699 1.32025 1 -0.714562 -4.51094 -5.60149 -0.157636 -3.79638
4.44 -0.185677 -0.665165 -0.131373 1.31992 1 -0.850283 -4.88799 -5.36084 0.17426 -4.03771
4.48 -0.209148 -0.666821 -0.0160636 1.30684 1 -1.00375 -5.25156 -5.05887 0.479422 -4.24781
4.52 -0.233697 -0.660391 0.0984089 1.28215 1 -1.17589 -5.59464 -4.69955 0.755153 -4.41876
4.56 -0.259082 -0.645511 0.210268 1.24706 1 -1.36743 -5.91009 -4.28796 0.999411 -4.54266
4.6 -0.285014 -0.62197 0.31782 1.20285 1 -1.57892 -6.19072 -3.83023 1.21081 -4.6118
4.64 -0.311162 -0.589716 0.419485 1.15087 1 -1.81066 -6.4295 -3.33339 1.38862 -4.61884
4.68 -0.337154 -0.548867 0.513829 1.09244 1 -2.06266 -6.6197 -2.80522 1.53272 -4.55704
4.72 -0.362584 -0.499714 0.599588 1.02891 1 -2.33465 -6.75503 -2.25408 1.64359 -4.42038
4.76 -0.387014 -0.442719 0.675695 0.961596 1 -2.62602 -6.82984 -1.68874 1.72227 -4.20382
4.8 -0.40998 -0.378512 0.741292 0.891746 1 -2.93581 -6.83924 -1.11817 1.77026 -3.90343
4.84 -0.430998 -0.307882 0.795747 0.82055 1 -3.2627 -6.77927 -0.551375 1.78954 -3.51657
4.88 -0.449577 -0.231761 0.838654 0.74911 1 -3.60498 -6.64701 0.0028332 1.78242 -3.04202
4.92 -0.465219 -0.151213 0.869843 0.678432 1 -3.96057 -6.44069 0.535992 1.75152 -2.48012
4.96 -0.477437 -0.0674144 0.889368 0.609408 1 -4.32698 -6.15981 1.04018 1.69966 -1.83283
5 -0.485755 0.0183749 0.897502 0.542818 1 -4.70137 -5.80517 1.5082 1.62985 -1.1038
5.04 -0.489727 0.10483 0.894723 0.479318 1 -5.08054 -5.37894 1.93366 1.54514 -0.298398
5.08 -0.48894 0.19059 0.881695 0.419443 1 -5.46095 -4.88467 2.3112 1.4486 0.576285
5.12 -0.483026 0.274288 0.859246 0.363606 1 -5.83876 -4.32726 2.6365 1.34323 1.5115
5.16 -0.471671 0.354579 0.828342 0.312103 1 -6.20985 -3.71292 2.90639 1.23193 2.49693
