t 1 2 3 4 5 6 7 jK0406 jL0406
1.34e-05 0.754897 10 -1.32135e-09 179.525 180 0.0896769 -17.9436 -0.00137278 0.474828
1.35e-05 0.755088 10 -1.33121e-09 179.522 180 0.0899379 -17.9432 0.000564201 0.478417
1.36e-05 0.755259 10 -1.34108e-09 179.518 180 0.0901717 -17.9428 -0.00129144 0.482006
1.37e-05 0.755446 10 -1.35095e-09 179.514 180 0.0904293 -17.9424 0.000486755 0.485594
1.38e-05 0.755615 10 -1.36081e-09 179.511 180 0.090662 -17.942 -0.0012168 0.489183
1.39e-05 0.755799 10 -1.37067e-09 179.507 180 0.0909164 -17.9416 0.000415709 0.492771
1.4e-05 0.755967 10 -1.38054e-09 179.504 180 0.091148 -17.9413 -0.0011483 0.496359
1.41e-05 0.756147 10 -1.3904e-09 179.5 180 0.0913992 -17.9409 0.00035053 0.499947
1.42e-05 0.756313 10 -1.40026e-09 179.497 180 0.0916297 -17.9405 -0.00108543 0.503536
1.43e-05 0.756491 10 -1.41012e-09 179.493 180 0.091878 -17.9401 0.000290729 0.507124
1.44e-05 0.756655 10 -1.41998e-09 179.489 180 0.0921074 -17.9397 -0.00102772 0.510712
1.45e-05 0.756829 10 -1.42983e-09 179.486 180 0.0923529 -17.9393 0.000235862 0.5143
1.46e-05 0.756992 10 -1.43969e-09 179.482 180 0.0925811 -17.939 -0.000974757 0.517887
1.47e-05 0.757164 10 -1.44955e-09 179.479 180 0.092824 -17.9386 0.000185517 0.521475
1.48e-05 0.757324 10 -1.4594e-09 179.475 180 0.093051 -17.9382 -0.000926134 0.525063
1.49e-05 0.757493 10 -1.46926e-09 179.471 180 0.0932914 -17.9378 0.00013932 0.52865
1.5e-05 0.757652 10 -1.47911e-09 179.468 180 0.0935173 -17.9374 -0.000881496 0.532238
1.51e-05 0.757819 10 -1.48896e-09 179.464 180 0.0937553 -17.937 9.69272e-05 0.535825
1.52e-05 0.757976 10 -1.49881e-09 179.461 180 0.09398 -17.9367 -0.000840513 0.539413
1.53e-05 0.75814 10 -1.50866e-09 179.457 180 0.0942157 -17.9363 5.8024e-05 0.543
1.54e-05 0.758296 10 -1.51851e-09 179.453 180 0.0944393 -17.9359 -0.000802883 0.546587
1.55e-05 0.758457 10 -1.52836e-09 179.45 180 0.0946729 -17.9355 2.23216e-05 0.550174
1.56e-05 0.758611 10 -1.5382e-09 179.446 180 0.0948954 -17.9351 -0.00076833 0.553761
1.57e-05 0.758771 10 -1.54805e-09 179.443 180 0.0951268 -17.9348 -1.04446e-05 0.557348
1.58e-05 0.758923 10 -1.55789e-09 179.439 180 0.0953482 -17.9344 -0.0007366 0.560935
1.59e-05 0.75908 10 -1.56774e-09 179.435 180 0.0955777 -17.934 -4.05171e-05 0.564522
1.6e-05 0.759231 10 -1.57758e-09 179.432 180 0.0957979 -17.9336 -0.00070746 0.568109
1.61e-05 0.759386 10 -1.58742e-09 179.428 180 0.0960255 -17.9332 -6.81182e-05 0.571696
