t 1 2 3 4 jK0200 jL1 jL2
1.00531 11.3761 1.13761 -2.33192 0.770522 -0.264109 -2.64109 1.91734
1.01129 10.2916 1.02916 -2.82091 0.684557 -0.229068 -2.29068 2.20065
1.01728 9.02474 0.902474 -3.2607 0.587796 -0.190707 -1.90707 2.45321
1.02326 7.59358 0.759358 -3.6449 0.481766 -0.149694 -1.49694 2.67049
1.02924 6.01903 0.601903 -3.96808 0.368137 -0.106732 -1.06732 2.84848
1.03523 4.32469 0.432469 -4.22585 0.248703 -0.0625545 -0.625545 2.98372
1.04121 2.53647 0.253647 -4.41496 0.125347 -0.0179048 -0.179048 3.07343
1.0472 0.682177 0.0682177 -4.53329 1.4e-05 0.026473 0.26473 3.11552
1.05318 -1.2089 -0.12089 -4.57991 -0.125319 0.0698474 0.698474 3.10863
1.05916 -3.10648 -0.310648 -4.55506 -0.248676 0.111512 1.11512 3.05221
1.06515 -4.97976 -0.497976 -4.46014 -0.368111 0.150799 1.50799 2.94648
1.07113 -6.79795 -0.679795 -4.29766 -0.481741 0.187086 1.87086 2.79248
1.07712 -8.53074 -0.853074 -4.07118 -0.587774 0.219811 2.19811 2.59206
1.0831 -10.1489 -1.01489 -3.78526 -0.684537 0.248479 2.48479 2.34783
1.08908 -11.6245 -1.16245 -3.44535 -0.770504 0.27267 2.7267 2.06314
1.09507 -12.932 -1.2932 -3.05769 -0.84432 0.292045 2.92045 1.74206
1.10105 -14.048 -1.4048 -2.62919 -0.904821 0.306354 3.06354 1.3893
1.10704 -14.9519 -1.49519 -2.1673 -0.951052 0.315433 3.15433 1.01012
1.11302 -15.6266 -1.56266 -1.67991 -0.982284 0.319211 3.19211 0.610311
1.119 -16.0584 -1.60584 -1.17517 -0.998026 0.317711 3.17711 0.196028
1.12499 -16.2375 -1.62375 -0.661362 -0.998028 0.311042 3.11042 -0.226241
1.13097 -16.1581 -1.61581 -0.146776 -0.98229 0.299402 2.99402 -0.649814
1.13696 -15.8184 -1.58184 0.360443 -0.951061 0.283072 2.83072 -1.06791
1.14294 -15.2211 -1.52211 0.852429 -0.904834 0.262406 2.62406 -1.47375
1.14892 -14.3731 -1.43731 1.32171 -0.844336 0.237831 2.37831 -1.86069
1.15491 -13.2855 -1.32855 1.76135 -0.770523 0.209831 2.09831 -2.22233
1.16089 -11.9731 -1.19731 2.16502 -0.684558 0.178943 1.78943 -2.55258
1.16688 -10.4551 -1.04551 2.52711 -0.587798 0.145744 1.45744 -2.84583
1.17286 -8.75375 -0.875375 2.84282 -0.481767 0.110842 1.10842 -3.09699
1.17884 -6.89486 -0.689486 3.1082 -0.368139 0.074862 0.74862 -3.30159
1.18483 -4.90693 -0.490693 3.32022 -0.248705 0.0384382 0.384382 -3.4559
1.19081 -2.82085 -0.282085 3.47679 -0.125349 0.00220021 0.0220021 -3.55694
1.1968 -0.669441 -0.0669441 3.57676 -1.6e-05 -0.0332373 -0.332373 -3.60258
1.20278 1.51311 0.151311 3.61994 0.125317 -0.0672853 -0.672853 -3.59155
1.20876 3.69179 0.369179 3.6071 0.248674 -0.0993908 -0.993908 -3.52349
1.21475 5.83134 0.583134 3.53986 0.368109 -0.129046 -1.29046 -3.39898
1.22073 7.8968 0.78968 3.42072 0.481739 -0.155795 -1.55795 -3.21948
1.22672 9.85414 0.985414 3.25296 0.587772 -0.179246 -1.79246 -2.98739
1.2327 11.6708 1.16708 3.04057 0.684535 -0.19907 -1.9907 -2.70595
1.23868 13.3161 1.33161 2.78815 0.770503 -0.215011 -2.15011 -2.37925
1.24467 14.7623 1.47623 2.50085 0.844319 -0.226889 -2.26889 -2.01212
1.25065 15.9841 1.59841 2.18423 0.90482 -0.234598 -2.34598 -1.61011
1.25664 16.9602 1.69602 1.84417 0.951051 -0.238112 -2.38112 -1.17937
1.26262 17.6727 1.76727 1.48676 0.982284 -0.237479 -2.37479 -0.726544
1.2686 18.1082 1.81082 1.11818 0.998026 -0.23282 -2.3282 -0.258709
1.27459 18.2575 1.82575 0.744604 0.998028 -0.224328 -2.24328 0.216773
1.28057 18.1161 1.81161 0.372091 0.98229 -0.212261 -2.12261 0.692359
1.28656 17.6842 1.76842 0.00647134 0.951062 -0.196935 -1.96935 1.16045
1.29254 16.9666 1.69666 -0.346736 0.904834 -0.178719 -1.78719 1.61351
1.29852 15.973 1.5973 -0.682414 0.844337 -0.158023 -1.58023 2.04419
1.30451 14.7175 1.47175 -0.995924 0.770524 -0.135296 -1.35296 2.44547
1.31049 13.2185 1.32185 -1.28317 0.68456 -0.111012 -1.11012 2.81073
1.31648 11.4987 1.14987 -1.54065 0.587799 -0.0856617 -0.856617 3.13391
1.32246 9.58442 0.958442 -1.7655 0.481769 -0.0597417 -0.597417 3.40957
1.32844 7.50526 0.750526 -1.95553 0.368141 -0.0337473 -0.337473 3.63302
1.33443 5.29373 0.529373 -2.10921 0.248707 -0.00816156 -0.0816156 3.80037
1.34041 2.9847 0.29847 -2.22571 0.125351 0.0165535 0.165535 3.90861
1.3464 0.614807 0.0614807 -2.30485 1.8e-05 0.0399653 0.399653 3.95567
1.35238 -1.77812 -0.177812 -2.34712 -0.125315 0.0616783 0.616783 3.94046
1.35836 -4.15566 -0.415566 -2.35361 -0.248672 0.0813409 0.813409 3.86288
1.36435 -6.47945 -0.647945 -2.32596 -0.368108 0.0986517 0.986517 3.72382
